basomrade,year,employment_rate_aged_20_64,gender
4133310_vastra_bollstanas,2012,0.8958299999999999,male
4133310_vastra_bollstanas,2013,0.88759,male
4133310_vastra_bollstanas,2014,0.8641700000000001,male
4133330_ostra_bollstanas,2000,0.8807799999999999,male
4133330_ostra_bollstanas,2001,0.88659,male
4133330_ostra_bollstanas,2002,0.88292,male
4133330_ostra_bollstanas,2003,0.8731,male
4133330_ostra_bollstanas,2004,0.87703,male
4133330_ostra_bollstanas,2005,0.86439,male
4133330_ostra_bollstanas,2006,0.89292,male
4133330_ostra_bollstanas,2007,0.90279,male
4133330_ostra_bollstanas,2008,0.89054,male
4133330_ostra_bollstanas,2009,0.8841100000000001,male
4133330_ostra_bollstanas,2010,0.89665,male
4133330_ostra_bollstanas,2011,0.87834,male
4133330_ostra_bollstanas,2012,0.8870100000000001,male
4133330_ostra_bollstanas,2013,0.8760600000000001,male
4133330_ostra_bollstanas,2014,0.8812200000000001,male
4133350_sodra_bollstanas,2000,0.9181600000000001,male
4133350_sodra_bollstanas,2001,0.89831,male
4133350_sodra_bollstanas,2002,0.8924200000000001,male
4133350_sodra_bollstanas,2003,0.9073200000000001,male
4133350_sodra_bollstanas,2004,0.90453,male
4133350_sodra_bollstanas,2005,0.8972,male
4133350_sodra_bollstanas,2006,0.8861,male
4133350_sodra_bollstanas,2007,0.90869,male
4133350_sodra_bollstanas,2008,0.9030799999999999,male
4133350_sodra_bollstanas,2009,0.8684200000000001,male
4133350_sodra_bollstanas,2010,0.8909100000000001,male
4133350_sodra_bollstanas,2011,0.89438,male
4133350_sodra_bollstanas,2012,0.8714,male
4133350_sodra_bollstanas,2013,0.8874200000000001,male
4133350_sodra_bollstanas,2014,0.87277,male
4133910_fresta_norra_glesbygd,2000,0.89565,male
4133910_fresta_norra_glesbygd,2001,0.86555,male
4133910_fresta_norra_glesbygd,2002,0.9051100000000001,male
4133910_fresta_norra_glesbygd,2003,0.8954200000000001,male
4133910_fresta_norra_glesbygd,2004,0.89189,male
4133910_fresta_norra_glesbygd,2005,0.9013200000000001,male
4133910_fresta_norra_glesbygd,2006,0.86875,male
4133910_fresta_norra_glesbygd,2007,0.9434,male
4133910_fresta_norra_glesbygd,2008,0.88485,male
4133910_fresta_norra_glesbygd,2009,0.87821,male
4133910_fresta_norra_glesbygd,2010,0.8954200000000001,male
4133910_fresta_norra_glesbygd,2011,0.9068299999999999,male
4133910_fresta_norra_glesbygd,2012,0.92453,male
4133910_fresta_norra_glesbygd,2013,0.89697,male
4133910_fresta_norra_glesbygd,2014,0.89412,male
4133920_fresta_sodra_glesbygd,2000,0.84091,male
4133920_fresta_sodra_glesbygd,2001,0.7608699999999999,male
4133920_fresta_sodra_glesbygd,2002,0.85714,male
4133920_fresta_sodra_glesbygd,2003,0.78049,male
4133920_fresta_sodra_glesbygd,2004,0.85714,male
4133920_fresta_sodra_glesbygd,2005,0.86364,male
4133920_fresta_sodra_glesbygd,2006,0.9111100000000001,male
4133920_fresta_sodra_glesbygd,2007,0.86667,male
4133920_fresta_sodra_glesbygd,2008,0.8604700000000001,male
4133920_fresta_sodra_glesbygd,2009,0.86364,male
4133920_fresta_sodra_glesbygd,2010,0.82609,male
4133920_fresta_sodra_glesbygd,2011,0.82,male
4133920_fresta_sodra_glesbygd,2012,0.86792,male
4133920_fresta_sodra_glesbygd,2013,0.8909100000000001,male
4133920_fresta_sodra_glesbygd,2014,0.85965,male
4210110_centrala_vallentuna,2000,0.80278,male
4210110_centrala_vallentuna,2001,0.8092,male
4210110_centrala_vallentuna,2002,0.80994,male
4210110_centrala_vallentuna,2003,0.79292,male
4210110_centrala_vallentuna,2004,0.8035899999999999,male
4210110_centrala_vallentuna,2005,0.77381,male
4210110_centrala_vallentuna,2006,0.78105,male
4210110_centrala_vallentuna,2007,0.80507,male
4210110_centrala_vallentuna,2008,0.80089,male
4210110_centrala_vallentuna,2009,0.78057,male
4210110_centrala_vallentuna,2010,0.79585,male
4210110_centrala_vallentuna,2011,0.79351,male
4210110_centrala_vallentuna,2012,0.79487,male
4210110_centrala_vallentuna,2013,0.78587,male
4210110_centrala_vallentuna,2014,0.76439,male
4210210_norra_vallentuna_tatort,2000,0.85646,male
4210210_norra_vallentuna_tatort,2001,0.8416100000000001,male
4210210_norra_vallentuna_tatort,2002,0.8513299999999999,male
4210210_norra_vallentuna_tatort,2003,0.8175899999999999,male
4210210_norra_vallentuna_tatort,2004,0.8198700000000001,male
4210210_norra_vallentuna_tatort,2005,0.80442,male
4210210_norra_vallentuna_tatort,2006,0.81787,male
4210210_norra_vallentuna_tatort,2007,0.8275899999999999,male
4210210_norra_vallentuna_tatort,2008,0.84375,male
4210210_norra_vallentuna_tatort,2009,0.79897,male
4210210_norra_vallentuna_tatort,2010,0.7862,male
4210210_norra_vallentuna_tatort,2011,0.81403,male
4210210_norra_vallentuna_tatort,2012,0.81198,male
4210210_norra_vallentuna_tatort,2013,0.8216700000000001,male
4210210_norra_vallentuna_tatort,2014,0.8379700000000001,male
4210220_nv_a_vallentuna_tatort,2000,0.8650399999999999,male
4210220_nv_a_vallentuna_tatort,2001,0.88341,male
4210220_nv_a_vallentuna_tatort,2002,0.8927799999999999,male
4210220_nv_a_vallentuna_tatort,2003,0.8815799999999999,male
4210220_nv_a_vallentuna_tatort,2004,0.8802700000000001,male
4210220_nv_a_vallentuna_tatort,2005,0.89038,male
4210220_nv_a_vallentuna_tatort,2006,0.89738,male
4210220_nv_a_vallentuna_tatort,2007,0.8972899999999999,male
4210220_nv_a_vallentuna_tatort,2008,0.90275,male
4210220_nv_a_vallentuna_tatort,2009,0.9087700000000001,male
4210220_nv_a_vallentuna_tatort,2010,0.92617,male
4210220_nv_a_vallentuna_tatort,2011,0.9303100000000001,male
4210220_nv_a_vallentuna_tatort,2012,0.92332,male
