basomrade,year,cumulative_immigration_surplus,gender
1120140_adolf_fredriks_kyrka,2001,-13,both
1120140_adolf_fredriks_kyrka,2002,-11,both
1120140_adolf_fredriks_kyrka,2003,-16,both
1120140_adolf_fredriks_kyrka,2004,-38,both
1120140_adolf_fredriks_kyrka,2005,-37,both
1120140_adolf_fredriks_kyrka,2006,-47,both
1120140_adolf_fredriks_kyrka,2007,-50,both
1120140_adolf_fredriks_kyrka,2008,-46,both
1120140_adolf_fredriks_kyrka,2009,-53,both
1120140_adolf_fredriks_kyrka,2010,-49,both
1120140_adolf_fredriks_kyrka,2011,-72,both
1120140_adolf_fredriks_kyrka,2012,-110,both
1120140_adolf_fredriks_kyrka,2013,-108,both
1120140_adolf_fredriks_kyrka,2014,-59,both
1120150_skandiahuset,2000,14,both
1120150_skandiahuset,2001,21,both
1120150_skandiahuset,2002,1,both
1120150_skandiahuset,2003,21,both
1120150_skandiahuset,2004,-9,both
1120150_skandiahuset,2005,14,both
1120150_skandiahuset,2006,12,both
1120150_skandiahuset,2007,20,both
1120150_skandiahuset,2008,12,both
1120150_skandiahuset,2009,9,both
1120150_skandiahuset,2010,25,both
1120150_skandiahuset,2011,6,both
1120150_skandiahuset,2012,10,both
1120150_skandiahuset,2013,8,both
1120150_skandiahuset,2014,-16,both
1120210_kungsstenen,2000,14,both
1120210_kungsstenen,2001,30,both
1120210_kungsstenen,2002,9,both
1120210_kungsstenen,2003,13,both
1120210_kungsstenen,2004,22,both
1120210_kungsstenen,2005,2,both
1120210_kungsstenen,2006,61,both
1120210_kungsstenen,2007,14,both
1120210_kungsstenen,2008,21,both
1120210_kungsstenen,2009,69,both
1120210_kungsstenen,2010,54,both
1120210_kungsstenen,2011,22,both
1120210_kungsstenen,2012,-26,both
1120210_kungsstenen,2013,-74,both
1120210_kungsstenen,2014,-82,both
1120220_saltmatargatan,2000,2,both
1120220_saltmatargatan,2001,-10,both
1120220_saltmatargatan,2002,-13,both
1120220_saltmatargatan,2003,-16,both
1120220_saltmatargatan,2004,-12,both
1120220_saltmatargatan,2005,-22,both
1120220_saltmatargatan,2006,-22,both
1120220_saltmatargatan,2007,-17,both
1120220_saltmatargatan,2008,-7,both
1120220_saltmatargatan,2009,5,both
1120220_saltmatargatan,2010,7,both
1120220_saltmatargatan,2011,-3,both
1120220_saltmatargatan,2012,-4,both
1120220_saltmatargatan,2013,-8,both
1120220_saltmatargatan,2014,-7,both
1120230_sjokatten,2000,13,both
1120230_sjokatten,2001,5,both
1120230_sjokatten,2002,0,both
1120230_sjokatten,2003,-4,both
1120230_sjokatten,2004,-17,both
1120230_sjokatten,2005,8,both
1120230_sjokatten,2006,58,both
1120230_sjokatten,2007,40,both
1120230_sjokatten,2008,32,both
1120230_sjokatten,2009,15,both
1120230_sjokatten,2010,31,both
1120230_sjokatten,2011,18,both
1120230_sjokatten,2012,15,both
1120230_sjokatten,2013,4,both
1120230_sjokatten,2014,-25,both
1130110_atlasomradet,2000,21,both
1130110_atlasomradet,2001,43,both
1130110_atlasomradet,2002,41,both
1130110_atlasomradet,2003,19,both
1130110_atlasomradet,2004,-25,both
1130110_atlasomradet,2005,-22,both
1130110_atlasomradet,2006,-44,both
1130110_atlasomradet,2007,-65,both
1130110_atlasomradet,2008,-53,both
1130110_atlasomradet,2009,-103,both
1130110_atlasomradet,2010,-147,both
1130110_atlasomradet,2011,-170,both
1130110_atlasomradet,2012,-208,both
1130110_atlasomradet,2013,-200,both
1130110_atlasomradet,2014,-198,both
1130120_gustav_vasa_kyrka,2000,59,both
1130120_gustav_vasa_kyrka,2001,11,both
1130120_gustav_vasa_kyrka,2002,56,both
1130120_gustav_vasa_kyrka,2003,49,both
1130120_gustav_vasa_kyrka,2004,136,both
1130120_gustav_vasa_kyrka,2005,154,both
1130120_gustav_vasa_kyrka,2006,131,both
1130120_gustav_vasa_kyrka,2007,150,both
1130120_gustav_vasa_kyrka,2008,111,both
1130120_gustav_vasa_kyrka,2009,118,both
1130120_gustav_vasa_kyrka,2010,100,both
1130120_gustav_vasa_kyrka,2011,171,both
1130120_gustav_vasa_kyrka,2012,158,both
1130120_gustav_vasa_kyrka,2013,131,both
1130120_gustav_vasa_kyrka,2014,132,both
1130130_observatoriegatan,2000,30,both
1130130_observatoriegatan,2001,22,both
1130130_observatoriegatan,2002,-4,both
1130130_observatoriegatan,2003,1,both
1130130_observatoriegatan,2004,-53,both
1130130_observatoriegatan,2005,-66,both
1130130_observatoriegatan,2006,-80,both
1130130_observatoriegatan,2007,-96,both
1130130_observatoriegatan,2008,-95,both
1130130_observatoriegatan,2009,-145,both
1130130_observatoriegatan,2010,-140,both
1130130_observatoriegatan,2011,-129,both
1130130_observatoriegatan,2012,-173,both
1130130_observatoriegatan,2013,-174,both
1130130_observatoriegatan,2014,-191,both
1130140_sabbatsberg,2000,42,both
1130140_sabbatsberg,2001,62,both
1130140_sabbatsberg,2002,85,both
1130140_sabbatsberg,2003,77,both
1130140_sabbatsberg,2004,99,both
1130140_sabbatsberg,2005,131,both
1130140_sabbatsberg,2006,163,both
1130140_sabbatsberg,2007,175,both
1130140_sabbatsberg,2008,360,both
1130140_sabbatsberg,2009,1106,both
1130140_sabbatsberg,2010,1154,both
1130140_sabbatsberg,2011,1242,both
1130140_sabbatsberg,2012,1249,both
1130140_sabbatsberg,2013,1238,both
1130140_sabbatsberg,2014,1220,both
1130150_polstjarnan,2000,13,both
1130150_polstjarnan,2001,-1,both
1130150_polstjarnan,2002,2,both
1130150_polstjarnan,2003,7,both
1130150_polstjarnan,2004,49,both
1130150_polstjarnan,2005,50,both
1130150_polstjarnan,2006,33,both
1130150_polstjarnan,2007,40,both
1130150_polstjarnan,2008,22,both
1130150_polstjarnan,2009,-3,both
1130150_polstjarnan,2010,36,both
1130150_polstjarnan,2011,-10,both
1130150_polstjarnan,2012,-19,both
1130150_polstjarnan,2013,-15,both
1130150_polstjarnan,2014,-22,both
1130170_betlehemskyrkan,2000,-32,both
1130170_betlehemskyrkan,2001,-47,both
1130170_betlehemskyrkan,2002,-43,both
1130170_betlehemskyrkan,2003,-54,both
1130170_betlehemskyrkan,2004,-76,both
1130170_betlehemskyrkan,2005,-101,both
1130170_betlehemskyrkan,2006,-106,both
1130170_betlehemskyrkan,2007,-120,both
1130170_betlehemskyrkan,2008,-92,both
1130170_betlehemskyrkan,2009,-133,both
1130170_betlehemskyrkan,2010,-164,both
1130170_betlehemskyrkan,2011,-174,both
1130170_betlehemskyrkan,2012,-191,both
1130170_betlehemskyrkan,2013,-262,both
1130170_betlehemskyrkan,2014,-208,both
1140110_norrtull,2000,4,both
1140110_norrtull,2001,6,both
1140110_norrtull,2002,0,both
1140110_norrtull,2003,3,both
1140110_norrtull,2004,14,both
1140110_norrtull,2005,11,both
1140110_norrtull,2006,15,both
1140110_norrtull,2007,9,both
1140110_norrtull,2008,8,both
1140110_norrtull,2009,16,both
1140110_norrtull,2010,20,both
1140110_norrtull,2011,28,both
1140110_norrtull,2012,2,both
1140110_norrtull,2013,-7,both
1140110_norrtull,2014,5,both
1140120_tre_liljor,2000,45,both
1140120_tre_liljor,2001,-8,both
1140120_tre_liljor,2002,-76,both
1140120_tre_liljor,2003,-74,both
1140120_tre_liljor,2004,-62,both
1140120_tre_liljor,2005,-20,both
1140120_tre_liljor,2006,-44,both
1140120_tre_liljor,2007,-70,both
1140120_tre_liljor,2008,-93,both
1140120_tre_liljor,2009,-99,both
1140120_tre_liljor,2010,-75,both
1140120_tre_liljor,2011,-124,both
1140120_tre_liljor,2012,-61,both
1140120_tre_liljor,2013,-104,both
1140120_tre_liljor,2014,-180,both
1140130_matteus_kyrka,2000,63,both
1140130_matteus_kyrka,2001,33,both
1140130_matteus_kyrka,2002,42,both
1140130_matteus_kyrka,2003,30,both
1140130_matteus_kyrka,2004,-7,both
1140130_matteus_kyrka,2005,-27,both
1140130_matteus_kyrka,2006,-82,both
1140130_matteus_kyrka,2007,-171,both
1140130_matteus_kyrka,2008,-186,both
1140130_matteus_kyrka,2009,-224,both
1140130_matteus_kyrka,2010,-254,both
1140130_matteus_kyrka,2011,-299,both
1140130_matteus_kyrka,2012,-331,both
1140130_matteus_kyrka,2013,-401,both
1140130_matteus_kyrka,2014,-409,both
1140140_halsingehojden,2000,17,both
1140140_halsingehojden,2001,22,both
1140140_halsingehojden,2002,10,both
1140140_halsingehojden,2003,43,both
1140140_halsingehojden,2004,23,both
1140140_halsingehojden,2005,-41,both
1140140_halsingehojden,2006,-42,both
1140140_halsingehojden,2007,-99,both
1140140_halsingehojden,2008,-117,both
1140140_halsingehojden,2009,-199,both
1140140_halsingehojden,2010,-258,both
1140140_halsingehojden,2011,-251,both
1140140_halsingehojden,2012,-272,both
1140140_halsingehojden,2013,-264,both
1140140_halsingehojden,2014,-349,both
1140150_centralgaraget,2000,-30,both
1140150_centralgaraget,2001,-42,both
1140150_centralgaraget,2002,-36,both
1140150_centralgaraget,2003,-53,both
1140150_centralgaraget,2004,-44,both
1140150_centralgaraget,2005,-11,both
1140150_centralgaraget,2006,-52,both
1140150_centralgaraget,2007,-58,both
1140150_centralgaraget,2008,2,both
1140150_centralgaraget,2009,26,both
