basomrade,year,mean_income_aged_lt_20,gender
4220000_markims_forsamling,2004,219027.01,both
4220000_markims_forsamling,2005,221361.77,both
4220000_markims_forsamling,2006,227105.69,both
4220000_markims_forsamling,2007,233498.89,both
4220000_markims_forsamling,2008,253997.86,both
4220000_markims_forsamling,2009,259786.32,both
4220000_markims_forsamling,2010,275823.28,both
4220000_markims_forsamling,2011,270692.7,both
4220000_markims_forsamling,2012,280797.16,both
4220000_markims_forsamling,2013,292208.27,both
4220000_markims_forsamling,2014,301201.32,both
4230100_lindholmen,2000,237316.8,both
4230100_lindholmen,2001,245728.03,both
4230100_lindholmen,2002,259058.53,both
4230100_lindholmen,2003,260913.75,both
4230100_lindholmen,2004,269026.71,both
4230100_lindholmen,2005,275030.65,both
4230100_lindholmen,2006,290501.25,both
4230100_lindholmen,2007,300695.09,both
4230100_lindholmen,2008,307143.27,both
4230100_lindholmen,2009,317261.55,both
4230100_lindholmen,2010,329700.03,both
4230100_lindholmen,2011,332908.14,both
4230100_lindholmen,2012,345346.74,both
4230100_lindholmen,2013,341840.09,both
4230100_lindholmen,2014,347113.77,both
4230500_okand,2000,194444.97,both
4230500_okand,2001,199936.6,both
4230500_okand,2002,209194.38,both
4230500_okand,2003,213327.31,both
4230500_okand,2004,230054.42,both
4230500_okand,2005,240935.2,both
4230500_okand,2006,244148.54,both
4230500_okand,2007,258247.13,both
4230500_okand,2008,276143.55,both
4230500_okand,2009,275954.41,both
4240000_frosunda_forsamling,2000,185744.13,both
4240000_frosunda_forsamling,2001,193959.49,both
4240000_frosunda_forsamling,2002,203984.53,both
4240000_frosunda_forsamling,2003,224987.05,both
4240000_frosunda_forsamling,2004,225365.24,both
4240000_frosunda_forsamling,2005,222037.39,both
4240000_frosunda_forsamling,2006,234520.54,both
4240000_frosunda_forsamling,2007,260938.11,both
4240000_frosunda_forsamling,2008,268503.07,both
4240000_frosunda_forsamling,2009,410525.86,both
4240000_frosunda_forsamling,2010,283878.5,both
4240000_frosunda_forsamling,2011,293080.63,both
4240000_frosunda_forsamling,2012,288482.01,both
4240000_frosunda_forsamling,2013,293429.57,both
4240000_frosunda_forsamling,2014,301619.76,both
4250100_karsta,2000,187377.92,both
4250100_karsta,2001,195349.1,both
4250100_karsta,2002,199150.27,both
