basomrade,year,population_20xx_12_31,gender
4210320_ostra_ormsta,2014,2047,both
4210330_vastra_ormsta,2000,1701,both
4210330_vastra_ormsta,2001,1640,both
4210330_vastra_ormsta,2002,1647,both
4210330_vastra_ormsta,2003,1656,both
4210330_vastra_ormsta,2004,1641,both
4210330_vastra_ormsta,2005,1639,both
4210330_vastra_ormsta,2006,1666,both
4210330_vastra_ormsta,2007,1634,both
4210330_vastra_ormsta,2008,1655,both
4210330_vastra_ormsta,2009,1646,both
4210330_vastra_ormsta,2010,1696,both
4210330_vastra_ormsta,2011,1685,both
4210330_vastra_ormsta,2012,1649,both
4210330_vastra_ormsta,2013,1670,both
4210330_vastra_ormsta,2014,1702,both
4210340_aby_bostadsomr,2000,902,both
4210340_aby_bostadsomr,2001,944,both
4210340_aby_bostadsomr,2002,929,both
4210340_aby_bostadsomr,2003,873,both
4210340_aby_bostadsomr,2004,906,both
4210340_aby_bostadsomr,2005,906,both
4210340_aby_bostadsomr,2006,878,both
4210340_aby_bostadsomr,2007,872,both
4210340_aby_bostadsomr,2008,876,both
4210340_aby_bostadsomr,2009,875,both
4210340_aby_bostadsomr,2010,989,both
4210340_aby_bostadsomr,2011,1053,both
4210340_aby_bostadsomr,2012,1064,both
4210340_aby_bostadsomr,2013,1065,both
4210340_aby_bostadsomr,2014,1074,both
4210410_vastra_ballsta,2000,2296,both
4210410_vastra_ballsta,2001,2333,both
4210410_vastra_ballsta,2002,2440,both
4210410_vastra_ballsta,2003,2518,both
4210410_vastra_ballsta,2004,2546,both
4210410_vastra_ballsta,2005,2574,both
4210410_vastra_ballsta,2006,2651,both
4210410_vastra_ballsta,2007,2646,both
4210410_vastra_ballsta,2008,2641,both
4210410_vastra_ballsta,2009,2683,both
4210410_vastra_ballsta,2010,2859,both
4210410_vastra_ballsta,2011,3007,both
4210410_vastra_ballsta,2012,3077,both
4210410_vastra_ballsta,2013,3123,both
4210410_vastra_ballsta,2014,3202,both
4210420_kragstalund,2000,1522,both
4210420_kragstalund,2001,1521,both
4210420_kragstalund,2002,1549,both
4210420_kragstalund,2003,1662,both
4210420_kragstalund,2004,1824,both
4210420_kragstalund,2005,2136,both
4210420_kragstalund,2006,2294,both
4210420_kragstalund,2007,2412,both
4210420_kragstalund,2008,2425,both
4210420_kragstalund,2009,2448,both
4210420_kragstalund,2010,2464,both
4210420_kragstalund,2011,2478,both
4210420_kragstalund,2012,2513,both
4210420_kragstalund,2013,2511,both
4210420_kragstalund,2014,2478,both
4210430_ballstaberg,2000,410,both
4210430_ballstaberg,2001,498,both
4210430_ballstaberg,2002,578,both
4210430_ballstaberg,2003,679,both
4210430_ballstaberg,2004,878,both
4210430_ballstaberg,2005,1056,both
4210430_ballstaberg,2006,1201,both
4210430_ballstaberg,2007,1308,both
4210430_ballstaberg,2008,1443,both
4210430_ballstaberg,2009,1614,both
